,name,titles,rating,comments
0,Yaswanth S.,An overall good premium experience,3.0,"SUMMERY: As a first time iPhone user, I would say one should definitely buy iPhone ONLY for premium built & premium hardware (will talk later) while the whole iOS experience is pretty overrated. iPhones isn't any exceptionally fast with normal apps like YouTube, Insta etc, Android phones are equally snappy with them in 2022.PROS:1. Impressive hardware, the heptics, the autobrightness & otherwise highly ignored things in Android are way too perfectly executed in iPhone and it DOES make a big difference in user experience!!2. The screen is AMAZING.. it doesn't have 90 or 120 hz refresh rate but it FEELS better than my Nord with 90 hz!!3. A14 bionic promises years of performance ahead.4. Battery life is somewhere in between good & great.5.6. The dimensions of phone, it's smaller than usual android phones and feels much more handy along with less weight.7. Overall build quality is great.8. Best audio output out there.9. Long term support.CONS:1. SLOW CHARGING. 20 W only, you'll be jealous of 1/3rd price phones with 60 W charging. Yes that much high charging will effect health of battery but 20 W is way way too less, if Apple is such a legendary company they should have created a battery that can withstand decently fast charging while instead they just use slow charging to keep their battery's health.2. Overy exhagerated software experience, reality is that Android is more user friendly with better gesture & commonsense options & settings & steps to do simple things. iOS looks pretty yes but UX engineers at Apple have really done a crappy job.. there's still no notification grouping in correct manner (its executed poorly), no proper homescreen customisation & just so so so many ""commonsense"" things are missing from iOS I can rant all day about it. Everything you can do in Android with a single click or swipe takes 2 swipes and then a click to do in iOS its SOOOOO ANNOYING. Like you want to clear a notification? Swipe and then click on clear. You want to open a notification? Swipe FIRST and then click open.. like wth????????3. DON'T believe Apple fanboys who scream about speed, Android phones are equally snappy in performance today. There are split second app loading times in iOS also, just like in Android. And yeah iOS DOES HAVE occasional bugs too, apps taking too much time sometimes etc etc.4. FaceID is nice but an in-fingerprint reader seems the best ID to me atleast, that's missing.5. Ridiculously expensive accessories6. Battery life is above good but not great.In the end I would say iPhone, overall, does provide a better experience (mostly cuz of hardware only) but it's expensive. Do know that you're NOT buying a value-for-money phone at all, so buy it only if you can afford it without much difficulty."
1,Navish Paik,Excellent product,4.0,Satisfied with the quality and performance but it's battery drains quickly.
2,Mantu  kumar,In the era of 14 this is still beast,4.0,"Using for few months, no heating issue, but night camera is worst."
3,Yogesh Kumar Sharma,mujhe acha laga istmal kar ke,4.0,In 2022 best iPhone ever
4,Swapnil S Joshi,iphone 12 is good for normal use but don’t expect wow factor from this device.,4.0,"Whereas brand is apple, you can expect standard handset which it should be. Camera is good, display is good, sound is good, battery is average indeed.  I can not recommend this handset for gamers or heavy users, normal user can use this handset, no problem set"
5,Jaimica Raval,Review,4.0,Cost to much high as per proformance
6,Yaswanth S.,Great product,3.0,"This is not the first iPhone, so nothing more to review on iOS or iPhone, but something specific to this phone/ experience is jotted below.1. I upgraded from iPhone SE (1st gen) to this one. The migration was super smooth. Just power on and keep besides the old phone, in almost 30mins you are done. Everything including apps and app settings are migrated.2. Camera is really great.3. I wanted a small set, I guess iPhone 12 mini would have been an ideal choice. However, this is not bad, either."
7,Nazimulla Alam Khan,Good and satisfactory upgrade for user having iphone series before 12,4.0,Face scan unlock is perfect
8,Jaskarn singh,Honest review after 30-40 Days,4.0,"Switched to IOS for the first time, was really very excited to get the iphone 12.Display is stunning but might feel small if ur switching from a 6.5inch androidSpeakers are amazing they are loud, clear and have dolby effects.Build quality is superb which is expected from appleFace id might sound a bit concerning but its well integrated and works flawlessly.Camera is simply superb for a 2020 phone the video quality is unmatched.Haptics are flagship level.Cons-battery isnt that good and needs to be charged once a day at the least sometimes even 2 times.no charger in box had to purchase 20w charger for 1.8kprovided cable doesnt feel very sturdyIOS 16 is filled with bugs and degraded battery life compared to ios 15( at the time of review)The network reception isnt that great (cellular) wifi is great"
9,KAMRAN AMIN,Overall it’s nice,4.0,Obviously it’s i phone so the quality is top notch. but we miss android when some features are unavailable in iphone
10,Suhas G.,Good,4.0,Good battery life
11,Anil j.,Iphone 12,4.0,Excellent phone. Battery back up is very good and fabulous camera. Excellent Sound quality. Very handy and less weighted phone.
12,Yaswanth S.,It’s iPhone simply the best,3.0,Am user of iPhone since last 8 yrs so no regrets on upgrading to this one. Video is far excellent and build quality is superb. Have an android phone and don’t feel like using it
13,Amazon Customer,Best,5.0,Very good
14,Bikash Mandal,Best mobile best price under 52k/128gb,4.0,"Awesome mobilePremium best cameraBest performanceBetter battery 🔋 lifeBest battery optimisation and background processVale for money and fabulous update via appleNo one ecosystem , power full phone, all in one mobile,great function and features.ConeBattery must be 4000 mahCall recording not possibleNot use 64 gb variantsAccessories costly"
15,Jatin,Good phone,4.0,Camera is good nd colour also good
16,Abhishek Pujari,As expected,4.0,Hearing loss when talking on the phone.
17,Sandeep Anand,Good for normal use,4.0,Build quality and performance is premium.iOS has its pros n cons. Recent iOS versions are less restrictive.Camera is consistent.Battery life is above average. It gets warm sometimes. Charging speed is fine. I wont recommend it for gaming.iPhones are on the pricier side but I am expecting long term use with the same snappier feel and less bugs.
18,Yaswanth S.,Premium phone with poor battery and average camera,3.0,I have upgraded from four years old iPhone 7.Only noticeable change is screen size and face unlocking.Camera doesn’t adjust exposure properly and I must say not much better from iPhone7.Let’s bear this for next 4-5 years 😊
19,Deepak,Deffect,4.0,Got a little bit of deffect in camera bump but its hardly noticeable
20,KANNAN,Nice product.,4.0,Overall product is really good. I have used it for sometime now and very happy with it.
21,Avnish Chandra,Charm,5.0,Shifted from Driod to Apple and it’s worth it … now I know what these crazy apple lovers were harping all about .. now I know … hahaExpensive though … but for me it came as a gift … sooo yeahGo for it
22,Anmol,"It’s just like any other Android phone, it’s boring.",5.0,Boring phone.
23,Shashikant  S.  Bhadalkar,Very good,5.0,Very good
24,Yaswanth S.,A Nice product with lot of restrictions,3.0,"iP12 feels premium, sturdy, has nice camera and quick gps maps response.I am a Google Pixel 2 user since 4.5 years so I will mention where I like/dislike this phone over pixel-2.1- iP 12 Feels premium2- Gps map response is awesome3- so many restrictions in user interface and controls, pixel is way better4- both have awesome camera quality5- pixel is more handy to use6- Pixel response is a lot better in low signal areas7- bluetooth range is awesome in iP128- typing and keyboard experience is better in pixel9- Noise cancellation is much better in my 4.5yrs old Pixel-2 compared to iP10- Last but not least, pixel's day to day usage experience is a lot easy and smooth as compared to lot of restrictions and complicated response of iP12.So if your usage is simple and you want to have feeling of premium product, go for iP.My next phone will be Pixel again.."
25,Ankit,BEST price,4.0,
26,Prasanna Bhalerao,Camera is very bad,4.0,Camera is very bad i am always using android this is the first time I use iPhone and beyond my expectations the camera is very bad . I woo z3 which you can in below 20k camera is much better then iPhone 12. And many other android phone below 20k u will get better camera and fast charge . Except for fast charge and camera I am satisfied with all the other the phone provide
27,Senthilkumar M,A great smartphone!,5.0,"Loved this phone. Got it only for 45k during the sale.  Camera quality, built quality, everything is great. Though not fond of the battery backup, I guess that’s a problem with every iPhone."
28,Anil,Everything is fine 😍😍,5.0,Thank you Amazon what a amazing phone
29,Allwin paul,Awesome phone!!,4.0,"Very nice and smooth phone, faster and secured too. Display is so great."
30,Yaswanth S.,Nice product,3.0,It’s simply awesome ❤️
31,Sarvome Shree Homes,Except battery everything is fine,5.0,Battery drains very fast . As all iPhone Camera quality is gud.Compact size..But not happy with battery backup
32,Praveen S B,Beyond Expectations,4.0,"With soo many innovations in Iphone series, i did not expect this one to be soo great.I love it, the midnight black colour is lovely. With the Face ID features and quick access to all the apps in App Store, this series is a must buy."
33,sangam pandey,Happy,4.0,Migrating from iPhone SE first generation to iPhone 12. Pleasant experience. One star less why because delivery was inordinately delayed.
34,Niyaz Ahmed jahagirdar ,If you get iphone 12 for around 42000 then go for it.,5.0,"I purchased iphone 12 in great Indian festival sale for 41500 excluding charger. Camera quality 5/5 , Battery 4.5/5(used you tube, Netflix, safari for anime, ig, whatsApp and battery lasted 1 1/2 day). Os is so smooth and easy to use. No blotware so big thumbs up. Got ios update16.1 . Build quality feels premium. (In hand use without back cover feels so good that i cannot explain). Iphone 12 is slightly lighter in weight.I even played apex legends and fps was constant, no lag,no heating issue. Hdr content is top notch. Plus it's 5g so I can easily use it for more than 5yrs.Overall after using iphone 12 for around 2months i can say it is worth it. Overall experience 5/5"
35,Dr Kulmohan S Mehta,Best Iphone,4.0,"Phones been amazingI have used iphone 4s , 5 , 6s and xr but I liked it.Long battery life, not quite as good as iPhone 13 but Close. Plus I didn’t like the weight and thickness of iPhone 13  just to get maybe 45-60 minutes more time at the most. I don’t see any difference in speed between Bionic14 and Bionic 15 what so ever. And to much hype for the 120 h refresh rate, no noticeable difference at all. Also I actually think iPhone 12 pictures look better than iPhone 13 because by supposedly having slight bit more detail they over saturate the black in them. Love the thin weightless feel in iPhone 12 and have had zero issues. I’m keeping this phone till the wheels fall off. Great value."
36,Yaswanth S.,Nice phon good look nice display,3.0,Nice phon nice battery backup Nice display
37,Saheed Ahmed  Laskar,Nice experience,4.0,"Some setting of IOS 16 are very good, and you feel a very light weight phone. Size is perfect if you compare with any of android phones."
38,Mohd Yusuf Raza,Weak Battery,4.0,Battery is weak.Everything else is good
39,Pawan k.,Nice,4.0,Good product
40,Biplab Poddar,Okay,5.0,
41,Rohit kotwal,Amazing apple product,4.0,"Very nice device for gaming, photo graphs, making video and easy to use i am happy with my amazing phone"
42,Yaswanth S.,Excellent Phone,3.0,Battery life is poor. No VoLTE calling. Excellent camera.
43,ARIF N K,iPhone is the standard against which all smartphones are compared,5.0,"I purchased this phone for my wife. Last year I purchased iPhone X for my son who is currently in the UK. I own an iPad and iMac 27"". I am not going to buy an iPhone for myself - at least not yet. One of the main things that I don't like about Android phones is the crap (bloatware) that each maker puts in. Moto and Google Pixel come with pure stock Android. So those can be left out. So I wanted a good phone for my wife so that she could FaceTime with my son in the UK anytime.What is there to say? So many have written about it. Since everyone writes all the positives, I will write some negatives. While there aren't too many, no product can be perfect:1. Brings in all the junk from the old phone. If one is switching from Android to iPhone, the ""Move to iOS"" app on Android can help. However be sure to clean up your Android phone first else all junk (especially ""Good Morning"", ""Good day"" picture crap from WhatsApp photos). Be sure to clean the SMS inbox also, especially all those blocked and spam messages which may be hidden from the main view and we never know that exist.2. WhatsApp cannot be synced. Yes, there are 3rd party apps but they are full of ad-crap and I can't trust them for security.3. Difficulty in validating iMessage and FaceTime. I could not activate iMessage and FaceTime with my mobile number. I simply could not figure this out. This is the case with my Vodaphone SIM/Number in India. Only when I added my email to my Apple ID, the two apps started working. Even now, the mobile number is not verified.4. I wish Apple provides dual SIM. Now dual SIM is almost a necessity. But as my wife does not use two SIMs, for her, it is fine.5. Apple is providing USB-C to lightning cable. They should supply USB-A to lightning cable instead. 99% of the chargers have a USB-A output. I had to purchase a USB-A to USB-C mini adapter (₹180) for this, or someone may have to buy a cable of the type (good cables from Apple, Belkin, Anker cost ₹1100 and above). By far, this is my biggest grouse.6. This is not the latest iPhone. The iPhone 13 was ₹73,000 and did not seem VFM. Even at ₹56,000 (₹55,900 to be exact), the iPhone12 may not be money best spent. This is one reason, why I haven't purchased an iPhone for myself all this while (I can afford to buy the latest one every year)."
44,Nawi,battery,5.0,battery not up to the mark
45,R. B.,Super phone,5.0,Good phone and value for money
46,Deep  Behera,After using 1 month. I feel happy to buy this product thanku amazone it's trustable .go for it,4.0,Only battery backup is low but all good.
47,loan4msme .com,iPhone 12 ❤️‍🔥🤤🤤🤤🥰,3.0,Zeher 🥰🥰🥰🫵🫵🫵🤤❤️‍🔥I’m fida ❤️‍🔥👌 bhai Khatarnak  hai 👌🤤🤤
48,Yaswanth S.,Pros and cons,3.0,"i purchased this mobile in 2022. If you are looking for gaming i phone then go for pro version of i phone 13 and 14 because there are frame drops issue and battery drain is fast like my poco f1 but still you can play bgmi nicely under fast network speed and low room temperature . BTW cemra and display quality is awesome specially video quality is amazing. Battery performance is not so good, overall performance and smoothness Is OP"
49,Heena,All good,5.0,I think the packaging should need to improve more
50,Kaustav Biswas,Good,5.0,It’s so good
51,Verma Kashish,I Phone,5.0,"Nice Apple Phone , Value For Money"
52,Ravi Kumar,Very smooth interface to use and brilliant screen.,5.0,"Apple at its best, as usual. But Battery life could have been better."
53,Sumit Kumar Sharma,"Super awesome, so handy good camera. Battery backup is also good.",4.0,
54,Yaswanth S.,Good,3.0,Good
55,Sagar walzade,Best under 50k,4.0,Best cameraTop notch hardware and softwareVery smooth experienceDisappointed  by battery life only getting SOT of 9-10hrs although if you are not a heavy user it can easily last 1 day
56,Nyason R Dagiam,Nice 👍,4.0,
57,Cheifath muhammed,Just Go for it..,5.0,The best Apple iPhone …worth it 12
58,Anup,i phone 12 128 gb,5.0,very nice phone and delivery was very good and packing was very good  and safe delivery and good experience  value  of money👍
59,Raj,Battery giving problem,4.0,Not happy
60,Yaswanth S.,Camera quality is good but battery life is not good.,3.0,
61,Ravikant Jaiswal,heating issue,5.0,IPhone 12 is very good butreason for giving four stars because Gets hit even in light use
62,Prasad,Packing was a little bit poor in the sense your packing an iphone,4.0,I like this photo camera but battery life is decent
63,Mohit,Nice,5.0,Good
